,Crypto,Date,Open,High,Low,Close,Adj Close,Volume
0,Bitcoin,2017-11-14,6561.47998,6764.97998,6461.75,6635.75,6635.75,3197110016.0
1,Bitcoin,2017-11-15,6634.759766,7342.25,6634.759766,7315.540039,7315.540039,4200880128.0
2,Bitcoin,2017-11-16,7323.240234,7967.379883,7176.580078,7871.689941,7871.689941,5123809792.0
3,Bitcoin,2017-11-17,7853.569824,8004.589844,7561.089844,7708.990234,7708.990234,4651670016.0
4,Bitcoin,2017-11-18,7697.209961,7884.990234,7463.439941,7790.149902,7790.149902,3667190016.0
5,Bitcoin,2017-11-19,7766.029785,8101.910156,7694.100098,8036.490234,8036.490234,3149319936.0
6,Bitcoin,2017-11-20,8039.069824,8336.860352,7949.359863,8200.639648,8200.639648,3488450048.0
7,Bitcoin,2017-11-21,8205.740234,8348.660156,7762.709961,8071.259766,8071.259766,4277609984.0
8,Bitcoin,2017-11-22,8077.950195,8302.259766,8075.470215,8253.549805,8253.549805,3633530112.0
9,Bitcoin,2017-11-23,8232.379883,8267.400391,8038.77002,8038.77002,8038.77002,4225179904.0
10,Bitcoin,2017-11-24,8074.02002,8374.160156,7940.930176,8253.69043,8253.69043,5058610176.0
11,Bitcoin,2017-11-25,8241.709961,8790.919922,8191.149902,8790.919922,8790.919922,4342060032.0
12,Bitcoin,2017-11-26,8789.040039,9522.929688,8775.589844,9330.549805,9330.549805,5475579904.0
13,Bitcoin,2017-11-27,9352.719727,9818.349609,9352.719727,9818.349609,9818.349609,5653320192.0
14,Bitcoin,2017-11-28,9823.429688,10125.700195,9736.299805,10058.799805,10058.799805,6348819968.0
15,Bitcoin,2017-11-29,10077.400391,11517.400391,9601.030273,9888.610352,9888.610352,11568799744.0
16,Bitcoin,2017-11-30,9906.790039,10801.0,9202.049805,10233.599609,10233.599609,8310689792.0
17,Bitcoin,2017-12-01,10198.599609,11046.700195,9694.650391,10975.599609,10975.599609,6783119872.0
18,Bitcoin,2017-12-02,10978.299805,11320.200195,10905.099609,11074.599609,11074.599609,5138500096.0
19,Bitcoin,2017-12-03,11082.700195,11858.700195,10862.0,11323.200195,11323.200195,6608309760.0
20,Bitcoin,2017-12-04,11315.400391,11657.200195,11081.799805,11657.200195,11657.200195,6132409856.0
21,Bitcoin,2017-12-05,11685.700195,12032.0,11604.599609,11916.700195,11916.700195,6895260160.0
22,Bitcoin,2017-12-06,11923.400391,14369.099609,11923.400391,14291.5,14291.5,12656300032.0
23,Bitcoin,2017-12-07,14266.099609,17899.699219,14057.299805,17899.699219,17899.699219,17950699520.0
24,Bitcoin,2017-12-08,17802.900391,18353.400391,14336.900391,16569.400391,16569.400391,21135998976.0
25,Bitcoin,2017-12-09,16523.300781,16783.0,13674.900391,15178.200195,15178.200195,13911300096.0
26,Bitcoin,2017-12-10,15168.400391,15850.599609,13226.599609,15455.400391,15455.400391,13433299968.0
27,Bitcoin,2017-12-11,15427.400391,17513.900391,15404.799805,16936.800781,16936.800781,12153900032.0
28,Bitcoin,2017-12-12,16919.800781,17781.800781,16571.599609,17415.400391,17415.400391,14603799552.0
29,Bitcoin,2017-12-13,17500.0,17653.099609,16039.700195,16408.199219,16408.199219,12976900096.0
30,Bitcoin,2017-12-14,16384.599609,17085.800781,16185.900391,16564.0,16564.0,13777399808.0
31,Bitcoin,2017-12-15,16601.300781,18154.099609,16601.300781,17706.900391,17706.900391,14309999616.0
32,Bitcoin,2017-12-16,17760.300781,19716.699219,17515.300781,19497.400391,19497.400391,12740599808.0
33,Bitcoin,2017-12-17,19475.800781,20089.0,18974.099609,19140.800781,19140.800781,13314599936.0
34,Bitcoin,2017-12-18,19106.400391,19371.0,18355.900391,19114.199219,19114.199219,14839499776.0
35,Bitcoin,2017-12-19,19118.300781,19177.800781,17275.400391,17776.699219,17776.699219,16894499840.0
36,Bitcoin,2017-12-20,17760.300781,17934.699219,16077.700195,16624.599609,16624.599609,22149699584.0
37,Bitcoin,2017-12-21,16642.400391,17567.699219,15342.700195,15802.900391,15802.900391,16516599808.0
38,Bitcoin,2017-12-22,15898.0,15943.400391,11833.0,13831.799805,13831.799805,22197999616.0
39,Bitcoin,2017-12-23,13948.700195,15603.200195,13828.799805,14699.200195,14699.200195,13086000128.0
40,Bitcoin,2017-12-24,14608.200195,14626.0,12747.700195,13925.799805,13925.799805,11572299776.0
41,Bitcoin,2017-12-25,13995.900391,14593.0,13448.900391,14026.599609,14026.599609,10664699904.0
42,Bitcoin,2017-12-26,14036.599609,16461.199219,14028.900391,16099.799805,16099.799805,13454300160.0
43,Bitcoin,2017-12-27,16163.5,16930.900391,15114.299805,15838.5,15838.5,12487600128.0
44,Bitcoin,2017-12-28,15864.099609,15888.400391,13937.299805,14606.5,14606.5,12336499712.0
45,Bitcoin,2017-12-29,14695.799805,15279.0,14307.0,14656.200195,14656.200195,13025500160.0
46,Bitcoin,2017-12-30,14681.900391,14681.900391,12350.099609,12952.200195,12952.200195,14452599808.0
47,Bitcoin,2017-12-31,12897.700195,14377.400391,12755.599609,14156.400391,14156.400391,12136299520.0
48,Bitcoin,2018-01-01,14112.200195,14112.200195,13154.700195,13657.200195,13657.200195,10291200000.0
49,Bitcoin,2018-01-02,13625.0,15444.599609,13163.599609,14982.099609,14982.099609,16846600192.0
50,Bitcoin,2018-01-03,14978.200195,15572.799805,14844.5,15201.0,15201.0,16871900160.0
51,Bitcoin,2018-01-04,15270.700195,15739.700195,14522.200195,15599.200195,15599.200195,21783199744.0
52,Bitcoin,2018-01-05,15477.200195,17705.199219,15202.799805,17429.5,17429.5,23840899072.0
53,Bitcoin,2018-01-06,17462.099609,17712.400391,16764.599609,17527.0,17527.0,18314600448.0
54,Bitcoin,2018-01-07,17527.300781,17579.599609,16087.700195,16477.599609,16477.599609,15866000384.0
55,Bitcoin,2018-01-08,16476.199219,16537.900391,14208.200195,15170.099609,15170.099609,18413899776.0
56,Bitcoin,2018-01-09,15123.700195,15497.5,14424.0,14595.400391,14595.400391,16659999744.0
57,Bitcoin,2018-01-10,14588.5,14973.299805,13691.200195,14973.299805,14973.299805,18500800512.0
58,Bitcoin,2018-01-11,14968.200195,15018.799805,13105.900391,13405.799805,13405.799805,16534099968.0
59,Bitcoin,2018-01-12,13453.900391,14229.900391,13158.099609,13980.599609,13980.599609,12065699840.0
60,Bitcoin,2018-01-13,13952.400391,14659.5,13952.400391,14360.200195,14360.200195,12763599872.0
61,Bitcoin,2018-01-14,14370.799805,14511.799805,13268.0,13772.0,13772.0,11084099584.0
62,Bitcoin,2018-01-15,13767.299805,14445.5,13641.700195,13819.799805,13819.799805,12750799872.0
63,Bitcoin,2018-01-16,13836.099609,13843.099609,10194.900391,11490.5,11490.5,18853799936.0
64,Bitcoin,2018-01-17,11431.099609,11678.0,9402.290039,11188.599609,11188.599609,18830600192.0
65,Bitcoin,2018-01-18,11198.799805,12107.299805,10942.5,11474.900391,11474.900391,15020399616.0
66,Bitcoin,2018-01-19,11429.799805,11992.799805,11172.099609,11607.400391,11607.400391,10740400128.0
67,Bitcoin,2018-01-20,11656.200195,13103.0,11656.200195,12899.200195,12899.200195,11801700352.0
68,Bitcoin,2018-01-21,12889.200195,12895.900391,11288.200195,11600.099609,11600.099609,9935179776.0
69,Bitcoin,2018-01-22,11633.099609,11966.400391,10240.200195,10931.400391,10931.400391,10537400320.0
70,Bitcoin,2018-01-23,10944.5,11377.599609,10129.700195,10868.400391,10868.400391,9660609536.0
71,Bitcoin,2018-01-24,10903.400391,11501.400391,10639.799805,11359.400391,11359.400391,9940989952.0
72,Bitcoin,2018-01-25,11421.700195,11785.700195,11057.400391,11259.400391,11259.400391,8873169920.0
73,Bitcoin,2018-01-26,11256.0,11656.700195,10470.299805,11171.400391,11171.400391,9746199552.0
74,Bitcoin,2018-01-27,11174.900391,11614.900391,10989.200195,11440.700195,11440.700195,7583269888.0
75,Bitcoin,2018-01-28,11475.299805,12040.299805,11475.299805,11786.299805,11786.299805,8350360064.0
76,Bitcoin,2018-01-29,11755.5,11875.599609,11179.200195,11296.400391,11296.400391,7107359744.0
77,Bitcoin,2018-01-30,11306.799805,11307.200195,10036.200195,10106.299805,10106.299805,8637859840.0
78,Bitcoin,2018-01-31,10108.200195,10381.599609,9777.419922,10221.099609,10221.099609,8041160192.0
79,Bitcoin,2018-02-01,10237.299805,10288.799805,8812.280273,9170.540039,9170.540039,9959400448.0
80,Bitcoin,2018-02-02,9142.280273,9142.280273,7796.490234,8830.75,8830.75,12726899712.0
81,Bitcoin,2018-02-03,8852.120117,9430.75,8251.629883,9174.910156,9174.910156,7263790080.0
82,Bitcoin,2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,8277.009766,7073549824.0
83,Bitcoin,2018-02-05,8270.540039,8364.839844,6756.680176,6955.27002,6955.27002,9285289984.0
84,Bitcoin,2018-02-06,7051.75,7850.700195,6048.259766,7754.0,7754.0,13999800320.0
85,Bitcoin,2018-02-07,7755.490234,8509.110352,7236.790039,7621.299805,7621.299805,9169280000.0
86,Bitcoin,2018-02-08,7637.859863,8558.769531,7637.859863,8265.589844,8265.589844,9346750464.0
87,Bitcoin,2018-02-09,8271.839844,8736.980469,7884.709961,8736.980469,8736.980469,6784820224.0
88,Bitcoin,2018-02-10,8720.080078,9122.549805,8295.469727,8621.900391,8621.900391,7780960256.0
89,Bitcoin,2018-02-11,8616.129883,8616.129883,7931.100098,8129.970215,8129.970215,6122189824.0
90,Bitcoin,2018-02-12,8141.430176,8985.919922,8141.430176,8926.570313,8926.570313,6256439808.0
91,Bitcoin,2018-02-13,8926.719727,8958.469727,8455.410156,8598.30957,8598.30957,5696719872.0
92,Bitcoin,2018-02-14,8599.919922,9518.540039,8599.919922,9494.629883,9494.629883,7909819904.0
93,Bitcoin,2018-02-15,9488.320313,10234.799805,9395.580078,10166.400391,10166.400391,9062540288.0
94,Bitcoin,2018-02-16,10135.700195,10324.099609,9824.820313,10233.900391,10233.900391,7296159744.0
95,Bitcoin,2018-02-17,10207.5,11139.5,10149.400391,11112.700195,11112.700195,8660880384.0
96,Bitcoin,2018-02-18,11123.400391,11349.799805,10326.0,10551.799805,10551.799805,8744009728.0
97,Bitcoin,2018-02-19,10552.599609,11273.799805,10513.200195,11225.299805,11225.299805,7652089856.0
98,Bitcoin,2018-02-20,11231.799805,11958.5,11231.799805,11403.700195,11403.700195,9926540288.0
99,Bitcoin,2018-02-21,11372.200195,11418.5,10479.099609,10690.400391,10690.400391,9405339648.0
100,Bitcoin,2018-02-22,10660.400391,11039.099609,9939.089844,10005.0,10005.0,8040079872.0
101,Bitcoin,2018-02-23,9937.070313,10487.299805,9734.55957,10301.099609,10301.099609,7739500032.0
102,Bitcoin,2018-02-24,10287.700195,10597.200195,9546.969727,9813.070313,9813.070313,6917929984.0
103,Bitcoin,2018-02-25,9796.419922,9923.219727,9407.05957,9664.730469,9664.730469,5706939904.0
104,Bitcoin,2018-02-26,9669.429688,10475.0,9501.730469,10366.700195,10366.700195,7287690240.0
105,Bitcoin,2018-02-27,10393.900391,10878.5,10246.099609,10725.599609,10725.599609,6966179840.0
106,Bitcoin,2018-02-28,10687.200195,11089.799805,10393.099609,10397.900391,10397.900391,6936189952.0
107,Bitcoin,2018-03-01,10385.0,11052.299805,10352.700195,10951.0,10951.0,7317279744.0
108,Bitcoin,2018-03-02,10977.400391,11189.0,10850.099609,11086.400391,11086.400391,7620590080.0
109,Bitcoin,2018-03-03,11101.900391,11528.200195,11002.400391,11489.700195,11489.700195,6690570240.0
110,Bitcoin,2018-03-04,11497.400391,11512.599609,11136.099609,11512.599609,11512.599609,6084149760.0
111,Bitcoin,2018-03-05,11532.400391,11704.099609,11443.900391,11573.299805,11573.299805,6468539904.0
112,Bitcoin,2018-03-06,11500.099609,11500.099609,10694.299805,10779.900391,10779.900391,6832169984.0
113,Bitcoin,2018-03-07,10803.900391,10929.5,9692.120117,9965.570313,9965.570313,8797910016.0
114,Bitcoin,2018-03-08,9951.44043,10147.400391,9335.870117,9395.009766,9395.009766,7186089984.0
115,Bitcoin,2018-03-09,9414.69043,9466.349609,8513.030273,9337.549805,9337.549805,8704190464.0
116,Bitcoin,2018-03-10,9350.589844,9531.320313,8828.469727,8866.0,8866.0,5386319872.0
117,Bitcoin,2018-03-11,8852.780273,9711.889648,8607.120117,9578.629883,9578.629883,6296370176.0
118,Bitcoin,2018-03-12,9602.929688,9937.5,8956.429688,9205.120117,9205.120117,6457399808.0
119,Bitcoin,2018-03-13,9173.040039,9470.379883,8958.19043,9194.849609,9194.849609,5991139840.0
120,Bitcoin,2018-03-14,9214.650391,9355.849609,8068.589844,8269.80957,8269.80957,6438230016.0
121,Bitcoin,2018-03-15,8290.759766,8428.349609,7783.049805,8300.860352,8300.860352,6834429952.0
122,Bitcoin,2018-03-16,8322.910156,8585.150391,8005.310059,8338.349609,8338.349609,5289379840.0
123,Bitcoin,2018-03-17,8321.910156,8346.530273,7812.819824,7916.879883,7916.879883,4426149888.0
124,Bitcoin,2018-03-18,7890.52002,8245.509766,7397.990234,8223.679688,8223.679688,6639190016.0
125,Bitcoin,2018-03-19,8344.120117,8675.870117,8182.399902,8630.650391,8630.650391,6729110016.0
126,Bitcoin,2018-03-20,8619.669922,9051.019531,8389.889648,8913.469727,8913.469727,6361789952.0
127,Bitcoin,2018-03-21,8937.480469,9177.370117,8846.330078,8929.280273,8929.280273,6043129856.0
128,Bitcoin,2018-03-22,8939.44043,9100.709961,8564.900391,8728.469727,8728.469727,5530390016.0
129,Bitcoin,2018-03-23,8736.25,8879.620117,8360.620117,8879.620117,8879.620117,5954120192.0
130,Bitcoin,2018-03-24,8901.950195,8996.179688,8665.700195,8668.120117,8668.120117,5664600064.0
131,Bitcoin,2018-03-25,8612.80957,8682.009766,8449.099609,8495.780273,8495.780273,4569880064.0
132,Bitcoin,2018-03-26,8498.469727,8530.080078,7921.430176,8209.400391,8209.400391,5921039872.0
